dimmer/1	dimmer/2	dimmer/3	dimmer/4	dimmer/5	dimmer/6	dimmer/7	dimmer/8	relay/17	relay/18	relay/19	relay/20	relay/21	relay/22	relay/23	relay/24	print_pos
0	0	34	0	0	0	0	57	1	0	0	0	0	0	0	0	0
0	0	35	0	0	0	0	57	1	0	0	0	0	0	0	0	0
0	0	38	0	0	0	0	57	1	0	0	0	0	0	0	0	0
0	0	39	0	0	0	0	57	1	0	0	0	0	0	0	0	0
0	0	39	0	0	0	0	57	1	0	0	0	0	0	0	0	0
0	0	40	0	0	0	0	57	1	0	0	0	0	0	0	0	0
0	0	41	0	0	0	0	58	1	0	0	0	0	0	0	0	0
0	0	41	0	0	0	0	60	1	0	0	0	0	0	0	0	0
0	0	42	0	0	0	0	61	1	0	0	0	0	0	0	0	0
0	0	42	0	0	0	0	61	1	0	0	0	0	0	0	0	0
0	0	42	0	0	0	0	61	1	0	0	0	0	0	0	0	0
0	0	43	0	0	0	0	61	1	0	0	0	0	0	0	0	0
0	0	43	0	0	0	0	61	1	0	0	0	0	0	0	0	0
0	0	43	0	0	0	0	61	1	0	0	0	0	0	0	0	0
0	0	43	0	0	0	0	62	1	0	0	0	0	0	0	0	0
0	0	44	0	0	0	0	63	1	0	0	0	0	0	0	0	0
0	0	46	0	0	0	0	63	1	0	0	0	0	0	0	0	0
0	0	46	0	0	0	0	63	1	0	0	0	0	0	0	0	0
0	0	47	0	0	0	0	65	1	0	0	0	0	0	0	0	0
0	0	48	0	0	0	0	65	1	0	0	0	0	0	0	0	0
0	0	50	0	0	0	0	66	1	0	0	0	0	0	0	0	0
0	0	51	0	0	0	0	66	1	0	0	0	0	0	0	0	0
0	0	52	0	0	0	0	66	1	0	0	0	0	0	0	0	0
0	0	53	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	54	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	54	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	56	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	57	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	58	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	58	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	60	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	61	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	64	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	66	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	68	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	69	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	70	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	71	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	72	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	74	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	75	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	75	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	75	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	75	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	75	0	0	0	0	67	1	0	0	0	0	0	0	0	0
0	0	75	0	0	0	0	67	1	0	0	0	0	0	0	0	0
