s17	s18	s19
0	2	0
3	8	0
14	13	0
23	17	0
30	18	0
44	12	0
49	2	0
45	0	0
31	0	0
23	0	0
23	6	0
34	11	0
49	11	0
64	11	0
72	11	0
73	11	0
74	11	2
75	11	17
73	11	20
60	12	20
46	12	16
42	12	6
29	12	0
17	12	0
6	12	0
0	12	0
0	12	0
0	12	0
0	12	0
4	12	0
17	12	0
24	12	0
25	12	0
22	12	0
17	12	0
17	12	0
17	12	0
15	12	0
9	12	0
2	12	0
0	12	0
0	12	0
0	13	0
0	13	0
1	15	0
7	17	0
10	17	0
12	20	0
12	20	0
5	20	0
0	20	0
0	17	0
0	12	0
0	7	0
0	5	0
0	0	0
3	0	0
9	0	0
12	0	0
14	0	0
17	1	0
22	7	0
26	12	0
28	17	0
28	20	0
22	24	0
14	24	0
5	24	0
0	23	0
0	16	0
0	11	0
0	6	0
0	2	0
